image_name,mask_type,wsmse_tag,swhdc_tag,erp_upsampling_tag,erp_phi_ref,lambda_rate,train_psnr,train_rate_bpp,train_rate_bits,eval_psnr,eval_y_rate_bpp,eval_y_rate_bits,eval_mlp_rate_bpp,eval_mlp_rate_bits,eval_arm_rate_bpp,eval_arm_rate_bits,eval_conv_rate_bpp,eval_conv_rate_bits,eval_border_rate_bpp,eval_border_rate_bits,eval_total_rate_bpp,eval_total_rate_bits,total_steps_1,total_steps_2
othim01,full,1,0,0,30.0,0.00208,32.31993127530558,0.38029009103775024,199381.53125,32.28666851699443,0.3811380863189697,199826.125,0.017223358154296875,9030.0,0.007701873779296875,4038.0,0.00870513916015625,4564.0,0.0,0,0.3983614444732666,208856.125,1000,1000
othim04,full,1,0,0,30.0,0.00208,29.961800344221146,0.7812686562538147,409609.78125,29.94576529933161,0.7820878028869629,410039.25,0.01819610595703125,9540.0,0.0076694488525390625,4021.0,0.00968170166015625,5076.0,0.0,0,0.8002839088439941,419579.25,1000,1000
othim07,full,1,0,0,30.0,0.00208,33.18186684953206,0.32623428106307983,171040.71875,33.1743231468764,0.327328622341156,171614.46875,0.018133163452148438,9507.0,0.0075702667236328125,3969.0,0.009624481201171875,5046.0,0.0,0,0.34546178579330444,181121.46875,1000,1000
othim10,full,1,0,0,30.0,0.00208,31.946029550779972,0.3098086714744568,162428.96875,31.936745047385045,0.31022772192955017,162648.671875,0.019556045532226562,10253.0,0.008646011352539062,4533.0,0.009950637817382812,5217.0,0.0,0,0.32978376746177673,172901.671875,1000,1000
othim13,full,1,0,0,30.0,0.00208,33.32812024765993,0.3229074478149414,169296.5,33.31061824168751,0.3241325616836548,169938.8125,0.0181121826171875,9496.0,0.0076446533203125,4008.0,0.009792327880859375,5134.0,0.0,0,0.3422447443008423,179434.8125,1000,1000
othim01,full,1,0,0,30.0,0.0001,38.37646999341854,1.498619556427002,785708.25,38.370066433722,1.5001370906829834,786503.875,0.021514892578125,11280.0,0.0086517333984375,4536.0,0.011823654174804688,6199.0,0.0,0,1.5216519832611084,797783.875,1000,1000
othim04,full,1,0,0,30.0,0.0001,38.01589822677355,2.4350664615631104,1276676.125,38.01421247419568,2.4352378845214844,1276766.0,0.02204132080078125,11556.0,0.009424209594726562,4941.0,0.011575698852539062,6069.0,0.0,0,2.4572792053222656,1288322.0,1000,1000
othim07,full,1,0,0,30.0,0.0001,39.762174848108806,1.0692840814590454,560612.8125,39.76154876964913,1.0696368217468262,560797.75,0.023456573486328125,12298.0,0.009304046630859375,4878.0,0.013109207153320312,6873.0,0.0,0,1.0930933952331543,573095.75,1000,1000
othim10,full,1,0,0,30.0,0.0001,39.69191535078251,1.4323458671569824,750961.75,39.68677562942464,1.4347648620605469,752230.0,0.020181655883789062,10581.0,0.008325576782226562,4365.0,0.010797500610351562,5661.0,0.0,0,1.454946517944336,762811.0,1000,1000
othim13,full,1,0,0,30.0,0.0001,40.78296122905906,1.1433498859405518,599444.625,40.78143841322509,1.1435803174972534,599565.4375,0.022348403930664062,11717.0,0.009523391723632812,4993.0,0.011936187744140625,6258.0,0.0,0,1.1659287214279175,611282.4375,1000,1000
othim01,erp,0,0,0,30.0,0.00406,28.716700407759898,0.17788182199001312,93261.3046875,28.709222998659925,0.17822232842445374,93439.828125,0.018024444580078125,9450.0,0.00775146484375,4064.0,0.0093231201171875,4888.0,0.0,0,0.19624677300453186,102889.828125,1000,1000
othim04,erp,0,0,0,30.0,0.00406,27.074633677513976,0.45110565423965454,236509.28125,27.071396516073055,0.45213788747787476,237050.46875,0.01920318603515625,10068.0,0.0076885223388671875,4031.0,0.010667800903320312,5593.0,0.0,0,0.471341073513031,247118.46875,1000,1000
othim07,erp,0,0,0,30.0,0.00406,30.2241873677922,0.16638916730880737,87235.84375,30.215848898085174,0.1667269617319107,87412.9453125,0.018846511840820312,9881.0,0.008756637573242188,4591.0,0.009250640869140625,4850.0,0.0,0,0.18557347357273102,97293.9453125,1000,1000
othim10,erp,0,0,0,30.0,0.00406,29.39038207427349,0.15923120081424713,83483.0078125,29.386765890672052,0.15940582752227783,83574.5625,0.020029067993164062,10501.0,0.008602142333984375,4510.0,0.010456085205078125,5482.0,0.0,0,0.1794348955154419,94075.5625,1000,1000
othim13,erp,0,0,0,30.0,0.00406,30.133681379188364,0.14581602811813354,76449.59375,30.121224337420855,0.14634740352630615,76728.1875,0.017650604248046875,9254.0,0.007663726806640625,4018.0,0.009252548217773438,4851.0,0.0,0,0.16399800777435303,85982.1875,1000,1000
othim01,erp,0,0,0,30.0,0.00208,31.508502330655904,0.3357660174369812,176038.09375,31.49071269202017,0.3362404704093933,176286.84375,0.018232345581054688,9559.0,0.0076351165771484375,4003.0,0.009870529174804688,5175.0,0.0,0,0.354472815990448,185845.84375,1000,1000
othim04,erp,0,0,0,30.0,0.00208,29.422913384961703,0.747796893119812,392060.9375,29.417734113301034,0.7489649057388306,392673.3125,0.018743515014648438,9827.0,0.0077037811279296875,4039.0,0.0100860595703125,5288.0,0.0,0,0.767708420753479,402500.3125,1000,1000
othim07,erp,0,0,0,30.0,0.00208,32.52871372888351,0.264772891998291,138817.25,32.523361575221344,0.26616621017456055,139547.75,0.018878936767578125,9898.0,0.0075397491455078125,3953.0,0.010499954223632812,5505.0,0.0,0,0.28504514694213867,149445.75,1000,1000
othim10,erp,0,0,0,30.0,0.00208,30.98739494175847,0.2524401843547821,132351.359375,30.975635425095263,0.2534915804862976,132902.59375,0.018136978149414062,9509.0,0.0076923370361328125,4033.0,0.009481430053710938,4971.0,0.0,0,0.27162855863571167,142411.59375,1000,1000
othim13,erp,0,0,0,30.0,0.00208,32.446814932162226,0.26346227526664734,138130.109375,32.42950668672287,0.26384708285331726,138331.859375,0.018888473510742188,9903.0,0.008726119995117188,4575.0,0.009206771850585938,4827.0,0.0,0,0.28273555636405945,148234.859375,1000,1000
othim01,erp,0,0,0,30.0,0.0001,38.36462221366309,1.518200159072876,795974.125,38.36254720779674,1.5187888145446777,796282.75,0.023052215576171875,12086.0,0.009552001953125,5008.0,0.0123291015625,6464.0,0.0,0,1.5418410301208496,808368.75,1000,1000
othim04,erp,0,0,0,30.0,0.0001,37.51620702888303,2.5721564292907715,1348550.75,37.51148925277601,2.573587656021118,1349301.125,0.02054595947265625,10772.0,0.00836944580078125,4388.0,0.01113128662109375,5836.0,0.0,0,2.5941336154937744,1360073.125,1000,1000
